"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS/60","NZS/60","DZS/60","OTF/60","OZF/60","NZF/60","DZF/60","Ice_F/60","Ice_A/60"
"Pavel Datsyuk","PAVEL.DATSYUK","15-16","DET","C","L",1978-07-20,37,65,179.02,2.75,53.88,32.85,6.03,1.68,18.77,50.27,8.38,3.02,0.67,0
"Pavel Kubina","PAVEL.KUBINA","07-08","TOR","D","R",1977-04-15,30,72,238.88,3.32,49.89,20.34,11.81,2.01,20.34,38.93,22.1,4.27,0.5,0
"Pavel Kubina","PAVEL.KUBINA","08-09","TOR","D","R",1977-04-15,31,80,268.33,3.35,54.55,25.94,6.71,1.34,17.22,53.22,10.73,3.8,0.89,0
"Pavel Kubina","PAVEL.KUBINA","09-10","ATL","D","R",1977-04-15,32,76,170.98,2.25,35.31,25.27,11.93,2.46,30.18,40,16.49,4.56,0.35,0
"Pavel Kubina","PAVEL.KUBINA","10-11","T.B","D","R",1977-04-15,33,78,184.2,2.36,37.36,18.24,10.75,3.26,33.22,30.62,15.64,5.54,0.65,0
"Pavel Kubina","PAVEL.KUBINA","11-12","T.B","D","R",1977-04-15,34,51,67.65,1.33,26.57,8.87,9.76,6.21,51.44,20.4,15.08,8.87,1.77,0
"Pavel Zacha","PAVEL.ZACHA","16-17","N.J","C","L",1997-04-06,19,69,125.33,1.82,36,23.94,7.18,0.96,36.38,40.69,10.53,1.91,0,0
"Pavel Zacha","PAVEL.ZACHA","17-18","N.J","C","L",1997-04-06,20,67,89.42,1.33,26.72,26.17,4.7,4.03,27.51,45.63,8.72,5.37,0,0.67
"Pavel Zacha","PAVEL.ZACHA","18-19","N.J","C","L",1997-04-06,21,60,102.83,1.71,31.63,27.42,4.08,1.17,33.26,46.68,8.17,3.5,0,0
"Pavel Zacha","PAVEL.ZACHA","19-20","N.J","C","L",1997-04-06,22,64,103.47,1.62,29.66,26.09,6.38,1.74,34.79,42.33,10.44,2.9,0,0
"Pavol Demitra","PAVOL.DEMITRA","07-08","MIN","R","L",1974-11-29,32,67,222.45,3.32,54.89,26.16,13.76,1.35,25.89,41.81,18.07,1.89,0.27,0
"Pavol Demitra","PAVOL.DEMITRA","08-09","VAN","R","L",1974-11-29,33,68,224.68,3.3,51.08,26.97,6.14,0.53,27.51,44.33,10.68,2.14,0.53,0
"Pavol Demitra","PAVOL.DEMITRA","09-10","VAN","R","L",1974-11-29,34,28,63.55,2.27,42.97,34.93,3.78,1.89,23.6,57.59,7.55,2.83,0.94,0
"Peter Harrold","PETER.HARROLD","08-09","L.A","D","R",1983-06-08,25,68,161.07,2.37,34.78,31.29,7.82,1.12,25.33,51.03,12.29,2.61,1.12,0
"Peter Holland","PETER.HOLLAND","14-15","TOR","C","L",1991-01-14,23,62,68.37,1.1,20.04,30.72,12.29,2.63,35.1,41.25,17.55,5.27,1.76,0
"Peter Holland","PETER.HOLLAND","15-16","TOR","C","L",1991-01-14,24,62,153.07,2.47,47.29,37.63,4.7,2.35,25.09,54.88,5.1,6.66,1.57,0
"Peter Mueller","PETER.MUELLER","07-08","ARI","C","R",1988-04-14,19,80,291.4,3.64,57.72,22.24,15.03,0.82,11.74,39.33,22.03,2.88,0.41,0
"Peter Mueller","PETER.MUELLER","08-09","ARI","C","R",1988-04-14,20,69,224.63,3.26,49.94,36.59,4.27,0.53,14.96,52.62,8.55,2.4,0.27,0
"Peter Mueller","PETER.MUELLER","09-10","ARI","C","R",1988-04-14,21,53,105.02,1.98,31.22,30.85,9.14,1.14,30.85,40.56,13.71,2.29,0,0.57
"Peter Mueller","PETER.MUELLER","12-13","FLA","C","R",1988-04-14,24,42,95.65,2.28,46.75,35.13,8.15,1.25,20.7,50.81,15.68,2.51,0,0.63
"Peter Regin","PETER.REGIN","09-10","OTT","C","L",1986-04-16,23,73,97.23,1.33,23.99,32.09,6.17,3.7,37.64,44.43,12.34,4.32,0,0
"Peter Regin","PETER.REGIN","10-11","OTT","C","L",1986-04-16,24,55,55.22,1,18.63,31.51,13.04,1.09,32.6,41.29,18.47,3.26,1.09,0
"Peter Schaefer","PETER.SCHAEFER","07-08","BOS","L","L",1977-07-12,30,61,108.65,1.78,29.81,20.43,9.39,4.42,31.48,33.69,13.81,7.18,0.55,0
"Petr Prucha","PETR.PRUCHA","07-08","NYR","C/R","R",1982-09-14,25,62,99.35,1.6,22.68,21.14,13.29,1.81,34.42,38.65,22.35,6.64,1.81,0
"Petr Prucha","PETR.PRUCHA","08-09","ARI","R","R",1982-09-14,26,18,55.4,3.08,46.84,18.41,3.25,2.17,23.83,44.4,8.66,4.33,1.08,0
"Petr Prucha","PETR.PRUCHA","09-10","ARI","R","R",1982-09-14,27,77,148.05,1.92,30.84,24.32,6.48,2.03,40.53,36.88,12.97,4.46,0.41,0
"Petr Sykora","PETR.SYKORA","07-08","PIT","R","L",1976-11-19,30,81,297.4,3.67,49.92,27.64,10.49,2.42,17.35,43.98,17.35,4.44,0.2,0
"Petr Sykora","PETR.SYKORA","08-09","PIT","R","L",1976-11-19,31,76,257.97,3.39,53.48,31.17,4.65,1.63,14.89,50.01,8.61,3.49,0.23,0
"Petr Sykora","PETR.SYKORA","11-12","N.J","R","L",1976-11-19,34,81,154.37,1.91,37.32,17.88,5.83,2.33,49.75,26.04,12.05,3.5,0.39,0
"Petteri Nummelin","PETTERI.NUMMELIN","07-08","MIN","D","L",1972-11-25,34,26,68.97,2.65,46.85,28.71,10.44,2.61,24.36,40.02,16.53,4.35,0,0
"Phil Kessel","PHIL.KESSEL","07-08","BOS","C","R",1987-10-02,19,80,168.37,2.1,34.45,13.54,12.12,3.56,45.61,26.01,19.24,6.41,1.07,0
"Phil Kessel","PHIL.KESSEL","08-09","BOS","C","R",1987-10-02,20,69,162.48,2.35,39.54,24.37,6.28,1.11,36.93,42.47,13.29,2.22,0.74,0
"Phil Kessel","PHIL.KESSEL","09-10","TOR","C","R",1987-10-02,21,69,250.57,3.63,58.2,29.21,5.03,0.24,8.38,54.6,11.25,0.72,0.24,0
"Phil Kessel","PHIL.KESSEL","10-11","TOR","C","R",1987-10-02,22,82,285.02,3.48,55.18,24.42,5.89,1.05,18.53,46.52,12.42,3.16,0,0
"Phil Kessel","PHIL.KESSEL","11-12","TOR","C","R",1987-10-02,23,79,256.87,3.25,62.23,30.6,6.77,0.7,9.34,52.79,10.28,2.34,0.47,0
"Phil Kessel","PHIL.KESSEL","12-13","TOR","C","R",1987-10-02,24,47,144.62,3.08,59.65,31.95,10.37,1.66,14.11,47.71,13.69,3.73,0.41,0
"Phil Kessel","PHIL.KESSEL","13-14","TOR","C","R",1987-10-02,25,81,244.08,3.01,59.18,31.22,7.62,1.23,9.83,56.29,13.03,3.93,0.25,0
"Phil Kessel","PHIL.KESSEL","14-15","TOR","C","R",1987-10-02,26,82,276.4,3.37,61.46,35.6,7.16,0.43,7.81,53.4,11.07,3.26,0.65,0
"Phil Kessel","PHIL.KESSEL","15-16","PIT","C","R",1987-10-02,27,82,264.22,3.22,64.5,32.47,5.9,0.91,8.4,58.13,9.08,2.5,0.68,0
"Phil Kessel","PHIL.KESSEL","16-17","PIT","C","R",1987-10-02,28,78,275.52,3.53,68.03,35.93,5.01,0.44,3.92,62.06,10.67,2.61,0.87,0
"Phil Kessel","PHIL.KESSEL","17-18","PIT","C","R",1987-10-02,29,81,295.78,3.65,73.68,34.69,4.26,0,3.85,58.02,9.33,3.04,1.22,0
"Phil Kessel","PHIL.KESSEL","18-19","PIT","C","R",1987-10-02,30,81,249.13,3.08,70.12,35.64,3.37,0,4.58,59.25,9.87,1.69,0.96,0
"Phil Kessel","PHIL.KESSEL","19-20","ARI","C","R",1987-10-02,31,68,207.1,3.05,58.89,32.74,4.64,0,11.01,55.92,7.82,1.45,0.29,0
"Philip Larsen","PHILIP.LARSEN","11-12","DAL","D","R",1989-12-07,21,51,69.57,1.36,26.96,30.19,6.9,1.72,29.32,48.3,15.52,3.45,0.86,0
"Philip Larsen","PHILIP.LARSEN","13-14","EDM","D","R",1989-12-07,23,29,69.68,2.4,48.15,23.25,11.19,1.72,21.53,43.05,15.5,2.58,0,0
"Philip Larsen","PHILIP.LARSEN","16-17","VAN","D","R",1989-12-07,26,25,55.28,2.21,49.53,24.96,5.43,0,13.02,55.35,6.51,0,0,0
"Philippe Boucher","PHILIPPE.BOUCHER","07-08","DAL","D","R",1973-03-24,34,38,100.5,2.64,41.46,14.33,13.73,1.19,24.48,29.85,19.7,2.99,0.6,0
"Philippe Boucher","PHILIPPE.BOUCHER","08-09","PIT","D","R",1973-03-24,35,25,62,2.48,38.1,30,6.77,3.87,30,44.52,12.58,8.71,0,0
"Phillip Danault","PHILLIP.DANAULT","16-17","MTL","L","L",1993-02-24,23,82,50.93,0.62,13.99,24.74,12.96,1.18,31.81,42.41,17.67,2.36,0,0
"Phillip Danault","PHILLIP.DANAULT","17-18","MTL","L","L",1993-02-24,24,50,51.07,1.02,20.08,19.97,7.05,2.35,45.82,37.6,16.45,4.7,1.17,0
"Phillip Danault","PHILLIP.DANAULT","19-20","MTL","L","L",1993-02-24,26,68,108.58,1.6,35.41,25.42,7.74,0.55,28.18,44.21,11.05,2.21,0,0
"Pierre-Luc Dubois","PIERRE-LUC.DUBOIS","17-18","CBJ","L","L",1998-06-24,19,80,152.88,1.91,41.12,28.65,5.49,1.96,21.59,48.27,9.42,3.53,0.39,0
"Pierre-Luc Dubois","PIERRE-LUC.DUBOIS","18-19","CBJ","L","L",1998-06-24,20,78,183.77,2.36,49.44,30.36,6.2,0.33,15.67,49.95,8.49,1.31,0.33,0
"Pierre-Luc Dubois","PIERRE-LUC.DUBOIS","19-20","CBJ","L","L",1998-06-24,21,70,177.48,2.54,56.67,24.68,7.44,1.01,15.21,45.64,10.82,2.03,1.01,0
"Pierre-Marc Bouchard","PIERRE-MARC.BOUCHARD","07-08","MIN","C","L",1984-04-27,23,80,269.78,3.37,54.39,26.02,11.79,1.33,20.46,43.81,17.79,2.67,0.44,0.22
"Pierre-Marc Bouchard","PIERRE-MARC.BOUCHARD","08-09","MIN","C","L",1984-04-27,24,70,213.57,3.05,51.45,33.99,8.15,2.25,22.76,52.54,11.24,3.09,0,0
"Pierre-Marc Bouchard","PIERRE-MARC.BOUCHARD","10-11","MIN","C","L",1984-04-27,26,57,150.62,2.64,46.93,28.68,7.97,0.8,27.88,43.42,10.76,3.19,0,0
"Pierre-Marc Bouchard","PIERRE-MARC.BOUCHARD","11-12","MIN","C","L",1984-04-27,27,37,116.17,3.14,57.89,27.37,6.2,0.52,20.14,44.42,8.78,2.07,0,0
"Pierre-Marc Bouchard","PIERRE-MARC.BOUCHARD","12-13","MIN","C","L",1984-04-27,28,41,68.68,1.68,33.51,31.45,5.24,3.49,28.83,41.06,7.86,6.12,1.75,0
"Pontus Aberg","PONTUS.ABERG","18-19","ANA","L","R",1993-09-23,24,37,75.58,2.04,43.54,30.96,6.35,0.79,26.2,50.81,7.94,2.38,1.59,0
"Quinn Hughes","QUINN.HUGHES","19-20","VAN","D","L",1999-10-14,19,67,242.93,3.63,66.96,27.42,4.2,0,7.66,49.64,6.42,1.73,0.74,0.25
"R.J. Umberger","R.J..UMBERGER","07-08","PHI","C","L",1982-05-03,25,73,124.65,1.71,24.38,17.33,13.96,2.89,47.65,29.36,21.66,2.89,0,0
"R.J. Umberger","R.J..UMBERGER","08-09","CBJ","C","L",1982-05-03,26,79,223.78,2.83,44.83,29.76,9.38,1.88,34.59,46.65,15.55,2.68,0.8,0
"R.J. Umberger","R.J..UMBERGER","09-10","CBJ","C","L",1982-05-03,27,80,254.47,3.18,54.47,38.2,8.02,1.18,20.04,53.52,10.61,1.89,0.24,0
"R.J. Umberger","R.J..UMBERGER","10-11","CBJ","C","L",1982-05-03,28,80,243.23,3.04,52.7,31.58,6.91,1.48,21.21,47.86,12.33,2.47,0.49,0
"R.J. Umberger","R.J..UMBERGER","11-12","CBJ","C","L",1982-05-03,29,76,233.35,3.07,46.44,25.2,6.43,1.29,33.43,41.91,13.63,2.31,0.51,0
"R.J. Umberger","R.J..UMBERGER","12-13","CBJ","C","L",1982-05-03,30,48,118.37,2.47,47.3,33.96,7.1,0.51,19.77,52.72,13.18,0.51,0,0
"R.J. Umberger","R.J..UMBERGER","13-14","CBJ","C","L",1982-05-03,31,71,147.73,2.08,37.18,27.21,6.9,2.03,34.12,44.68,12.59,3.66,0.41,0
"R.J. Umberger","R.J..UMBERGER","14-15","PHI","C","L",1982-05-03,32,66,87.93,1.33,26.84,23.88,12.28,1.36,49.13,34.12,16.38,3.41,0.68,0
"Radek Bonk","RADEK.BONK","07-08","NSH","C","L",1976-01-09,31,79,223.67,2.83,40.7,20.39,14.49,2.95,34.34,31.65,22.53,4.83,0.27,0
"Radek Bonk","RADEK.BONK","08-09","NSH","C","L",1976-01-09,32,66,143.18,2.17,35.81,33.52,8.38,0.84,25.56,53.22,11.73,4.19,0.84,0
"Radek Dvorak","RADEK.DVORAK","09-10","FLA","R","R",1977-03-09,32,76,69.17,0.91,15.38,20.82,8.67,0,76.33,32.09,12.14,1.73,0.87,0
"Radek Faksa","RADEK.FAKSA","18-19","DAL","C","L",1994-01-09,24,79,68.55,0.87,20.34,26.26,6.13,2.63,50.77,40.26,7.88,6.13,0.88,0
"Radek Faksa","RADEK.FAKSA","19-20","DAL","C","L",1994-01-09,25,62,95.38,1.54,31.65,28.94,3.77,1.26,45.92,40.89,9.44,5.03,3.77,0
"Radim Vrbata","RADIM.VRBATA","07-08","ARI","R","R",1981-06-13,26,76,240.87,3.17,50.7,25.16,12.45,0.25,14.7,40.35,22.67,2.49,0.5,0
"Radim Vrbata","RADIM.VRBATA","08-09","T.B","R","R",1981-06-13,27,18,53.22,2.96,38.58,29.31,7.89,1.13,37.2,39.46,9.02,1.13,0,0
"Radim Vrbata","RADIM.VRBATA","09-10","ARI","R","R",1981-06-13,28,80,194.18,2.43,38.51,29.35,5.56,1.54,34.3,41.71,11.12,3.4,0,0
"Radim Vrbata","RADIM.VRBATA","10-11","ARI","R","R",1981-06-13,29,77,241.68,3.14,55.87,37.49,5.46,0.99,10.18,59.83,10.92,3.23,0.5,0.25
"Radim Vrbata","RADIM.VRBATA","11-12","ARI","R","R",1981-06-13,30,76,231.02,3.04,60.22,35.58,4.67,0.78,7.01,54.28,10.39,1.56,0.52,0
"Radim Vrbata","RADIM.VRBATA","12-13","ARI","R","R",1981-06-13,31,33,100.1,3.03,52.45,34.17,4.2,0.6,19.78,56.34,7.79,2.4,1.8,0
"Radim Vrbata","RADIM.VRBATA","13-14","ARI","R","R",1981-06-13,32,80,209,2.61,49.4,27.27,6.32,0.57,24.69,47.08,12.92,2.87,1.15,0
"Radim Vrbata","RADIM.VRBATA","14-15","VAN","R","R",1981-06-13,33,75,218.6,2.91,59.33,40.35,5.22,0.55,9.06,57.37,7.41,1.92,0.55,0
"Radim Vrbata","RADIM.VRBATA","15-16","VAN","R","R",1981-06-13,34,60,164.78,2.75,53.28,36.05,4.73,0.73,14.2,54.25,8.37,3.28,0.36,0
"Radim Vrbata","RADIM.VRBATA","16-17","ARI","R","R",1981-06-13,35,78,204.13,2.62,54.93,30.86,5,0.88,14.4,50.85,8.52,2.65,0.59,0
"Radim Vrbata","RADIM.VRBATA","17-18","FLA","R","R",1981-06-13,36,41,55.13,1.34,25.94,20.68,7.62,4.35,54.42,32.65,13.06,6.53,2.18,0
"Radko Gudas","RADKO.GUDAS","13-14","T.B","D","R",1990-06-05,23,73,54.48,0.75,14.31,20.93,11.01,6.61,56.17,38.55,13.22,7.71,1.1,0
"Raffi Torres","RAFFI.TORRES","07-08","EDM","L","L",1981-10-08,25,32,83.8,2.62,37.17,21.48,15.04,0.72,26.49,30.07,23.63,2.15,0,0
"Raffi Torres","RAFFI.TORRES","09-10","CBJ","L","L",1981-10-08,27,58,134.52,2.32,39.64,26.32,5.8,0.89,45.05,38.8,9.81,2.23,0.45,0
"Raffi Torres","RAFFI.TORRES","10-11","VAN","L","L",1981-10-08,28,77,73.3,0.95,16.8,6.55,8.19,0,74.49,12.28,13.92,0.82,0,0
"Raffi Torres","RAFFI.TORRES","11-12","ARI","L","L",1981-10-08,29,78,63.37,0.81,16.36,25.56,12.31,2.84,45.45,38.82,16.1,6.63,1.89,0
"Randy Jones","RANDY.JONES","07-08","PHI","D","L",1981-07-23,26,70,152.92,2.18,32.02,18.44,10.99,2.75,45.51,30.6,19.23,3.53,0.39,0
"Randy Jones","RANDY.JONES","08-09","PHI","D","L",1981-07-23,27,47,72.02,1.53,28.68,24.99,5,2.5,41.66,33.32,10,3.33,0,0
"Randy Jones","RANDY.JONES","09-10","L.A","D","L",1981-07-23,28,47,99.45,2.12,37.15,13.88,11.46,1.21,44.65,30.77,13.88,2.41,1.21,0
"Randy Robitaille","RANDY.ROBITAILLE","07-08","OTT","C","L",1975-10-12,31,67,112.73,1.68,27.19,19.16,11.18,2.66,42.58,33.53,19.16,3.19,0,0
"Raphael Diaz","RAPHAEL.DIAZ","11-12","MTL","D","R",1986-01-09,25,59,95.88,1.63,27.92,20.65,6.26,2.5,48.19,36.92,7.51,4.38,0.63,0
"Raphael Diaz","RAPHAEL.DIAZ","12-13","MTL","D","R",1986-01-09,26,23,74.05,3.22,45.46,28.36,5.67,1.62,26.74,48.62,8.1,3.24,0,0
"Raphael Diaz","RAPHAEL.DIAZ","13-14","MTL","D","R",1986-01-09,27,46,55.88,1.21,21.86,27.92,9.66,3.22,66.57,42.95,17.18,4.29,1.07,0
"Raphael Diaz","RAPHAEL.DIAZ","14-15","CGY","D","R",1986-01-09,28,55,54.15,0.98,18.58,37.67,3.32,2.22,39.89,44.32,6.65,3.32,0,0
"Rasmus Andersson","RASMUS.ANDERSSON","18-19","CGY","D","R",1996-10-27,21,78,78.08,1,18.87,26.13,6.92,4.61,37.65,43.03,13.06,5.38,0,0
"Rasmus Andersson","RASMUS.ANDERSSON","19-20","CGY","D","R",1996-10-27,22,68,99.57,1.46,32.97,19.89,12.05,1.81,43.39,40.98,19.28,3.62,1.21,0
"Rasmus Dahlin","RASMUS.DAHLIN","18-19","BUF","D","L",2000-04-13,18,81,219.13,2.71,56.72,27.93,5.48,0.27,13.69,53.39,10.4,1.64,0.55,0
"Rasmus Dahlin","RASMUS.DAHLIN","19-20","BUF","D","L",2000-04-13,19,58,190.62,3.29,70.51,28.33,3.46,0,3.46,55.08,6.92,0.63,0.63,0
"Rasmus Ristolainen","RASMUS.RISTOLAINEN","13-14","BUF","D","R",1994-10-27,18,34,53.88,1.58,34.1,28.95,7.8,4.45,21.16,53.45,10.02,5.57,1.11,0
"Rasmus Ristolainen","RASMUS.RISTOLAINEN","14-15","BUF","D","R",1994-10-27,19,74,150,2.03,43.16,24.8,7.2,3.2,19.6,46.4,12.4,4.8,1.6,0
"Rasmus Ristolainen","RASMUS.RISTOLAINEN","15-16","BUF","D","R",1994-10-27,20,80,235.02,2.94,57.19,29.1,7.4,1.28,15.57,51.06,10.72,4.6,0.77,0.26
"Rasmus Ristolainen","RASMUS.RISTOLAINEN","16-17","BUF","D","R",1994-10-27,21,76,234.87,3.09,66.02,32.95,5.11,0.51,4.6,62.33,7.92,3.58,0.77,0
"Rasmus Ristolainen","RASMUS.RISTOLAINEN","17-18","BUF","D","R",1994-10-27,22,71,255.02,3.59,66.24,28,5.88,0.24,5.65,56.94,8.47,1.18,0,0
"Rasmus Ristolainen","RASMUS.RISTOLAINEN","18-19","BUF","D","R",1994-10-27,23,77,216.23,2.81,57.87,24.14,6.38,0.83,14.71,49.39,10.27,3.88,1.39,0
"Rasmus Ristolainen","RASMUS.RISTOLAINEN","19-20","BUF","D","R",1994-10-27,24,68,153.13,2.25,47.63,34.09,4.7,0.39,15.67,52.9,7.44,0.39,0,0
"Ray Whitney","RAY.WHITNEY","07-08","CAR","L","R",1972-05-08,35,66,291.82,4.42,55.45,25.7,12.75,1.03,18.71,42.15,23.85,3.91,1.44,0
"Ray Whitney","RAY.WHITNEY","08-09","CAR","L","R",1972-05-08,36,81,285.57,3.53,50.2,31.31,6.09,0.84,19.54,50.01,10.51,3.15,0.21,0
"Ray Whitney","RAY.WHITNEY","09-10","CAR","L","R",1972-05-08,37,78,282.82,3.63,58.04,34.37,8.27,0,13.58,58.34,14,2.12,0.42,0
"Ray Whitney","RAY.WHITNEY","10-11","ARI","L","R",1972-05-08,38,73,246.65,3.38,58.8,32.6,4.14,0.73,8.27,57.9,8.03,2.68,0.49,0.24
"Ray Whitney","RAY.WHITNEY","11-12","ARI","L","R",1972-05-08,39,81,289.97,3.58,72.05,25.24,3.93,0.41,4.76,50.9,9.93,1.86,1.03,0
"Ray Whitney","RAY.WHITNEY","12-13","DAL","L","R",1972-05-08,40,31,115.37,3.72,63.37,33.8,6.76,0.52,9.88,50.97,14.56,3.12,1.04,0
"Ray Whitney","RAY.WHITNEY","13-14","DAL","L","R",1972-05-08,41,68,191.7,2.82,48.58,32.55,3.76,2.5,17.21,51.96,9.7,4.07,0.63,0
"Reid Boucher","REID.BOUCHER","15-16","N.J","C","L",1993-09-08,22,38,70.9,1.87,40.11,28.77,6.77,0.85,36.39,44.01,11.85,1.69,0,0
"Reilly Smith","REILLY.SMITH","13-14","BOS","R","L",1991-04-01,22,79,131.62,1.67,36.62,32.37,9.57,2.28,28.26,55.61,13.22,3.19,0,0.46
"Reilly Smith","REILLY.SMITH","14-15","BOS","R","L",1991-04-01,23,77,141.77,1.84,40.12,30.9,8.89,0.42,24.55,58.4,17.35,1.69,0.85,0
"Reilly Smith","REILLY.SMITH","15-16","FLA","R","L",1991-04-01,24,80,197.37,2.47,45.36,33.74,6.38,1.22,23.41,50.46,13.07,3.95,0.61,0
"Reilly Smith","REILLY.SMITH","16-17","FLA","R","L",1991-04-01,25,78,190.48,2.44,45.41,34.02,7.24,0.94,27.4,53.23,14.49,2.52,0.63,0
"Reilly Smith","REILLY.SMITH","17-18","VGK","R","L",1991-04-01,26,65,152.02,2.34,45.54,32.76,5.92,0.79,24.87,53.28,8.68,1.97,0.39,0
"Reilly Smith","REILLY.SMITH","18-19","VGK","R","L",1991-04-01,27,74,176.45,2.38,52.83,38.08,5.44,0,11.22,64.61,8.5,0.68,0.68,0
"Reilly Smith","REILLY.SMITH","19-20","VGK","R","L",1991-04-01,28,69,128.48,1.86,42.44,32.22,2.8,0.47,30.82,58.84,9.81,0.47,0,0
"Rene Bourque","RENE.BOURQUE","07-08","CHI","L","L",1981-12-10,25,60,62.02,1.03,15.26,22.25,16.45,3.87,42.57,29.99,21.28,6.77,0,0
"Rene Bourque","RENE.BOURQUE","08-09","CGY","L","L",1981-12-10,26,56,57.87,1.03,14.2,26.96,15.55,3.11,50.8,39.4,18.66,6.22,2.07,0
"Rene Bourque","RENE.BOURQUE","09-10","CGY","L/R","L",1981-12-10,27,73,168.68,2.31,42.25,25.97,4.27,0.36,33.79,41.26,10.32,1.78,0,0
"Rene Bourque","RENE.BOURQUE","10-11","CGY","R","L",1981-12-10,28,80,227.17,2.84,46.74,29.05,6.07,0.53,24.56,50.18,11.36,3.7,1.32,0
"Rene Bourque","RENE.BOURQUE","11-12","CGY","R","L",1981-12-10,29,38,107.3,2.82,49.93,23.49,7.27,0.56,22.93,39.7,17.89,2.8,1.68,0
"Rene Bourque","RENE.BOURQUE","11-12","MTL","R","L",1981-12-10,29,38,70.77,1.86,34.11,19.5,10.17,3.39,39.85,27.13,14.41,5.09,0,0
"Rene Bourque","RENE.BOURQUE","12-13","MTL","R","L",1981-12-10,30,27,70.23,2.6,34.81,25.63,10.25,0,32.46,39.3,14.52,1.71,0,0
"Rene Bourque","RENE.BOURQUE","13-14","MTL","R","L",1981-12-10,31,62,75.17,1.21,21.6,34.32,10.38,2.39,39.91,51.08,14.37,6.39,2.39,0
"Rene Bourque","RENE.BOURQUE","16-17","COL","R","L",1981-12-10,34,64,96.47,1.51,29.39,31.72,6.22,1.87,38.56,42.91,9.33,8.71,3.73,0
"Rich Peverley","RICH.PEVERLEY","08-09","ATL","C","R",1982-07-08,26,39,97.23,2.49,34.63,19.75,8.02,4.32,41.96,33.94,13.58,7.41,0.62,0
"Rich Peverley","RICH.PEVERLEY","09-10","ATL","C","R",1982-07-08,27,82,245.97,3,47.4,25.13,4.63,1.46,21.71,42.69,9.76,3.9,0.24,0
"Rich Peverley","RICH.PEVERLEY","10-11","ATL","C","R",1982-07-08,28,58,170.95,2.95,53.61,35.8,7.02,0.35,15.09,55.81,12.28,2.11,0.35,0
"Rich Peverley","RICH.PEVERLEY","11-12","BOS","C","R",1982-07-08,29,55,153.53,2.79,50.55,29.7,4.69,1.95,21.1,50.8,7.03,2.74,0,0
"Rich Peverley","RICH.PEVERLEY","12-13","BOS","C","R",1982-07-08,30,44,79.62,1.81,41.22,31.65,3.01,0,35.42,47.48,6.78,0,0,0
"Rich Peverley","RICH.PEVERLEY","13-14","DAL","C","R",1982-07-08,31,62,122.07,1.97,32.4,28.51,7.37,5.41,26.54,44.73,10.81,6.39,0.98,0
"Richard Panik","RICHARD.PANIK","13-14","T.B","R","L",1991-02-07,22,50,64.98,1.3,24.5,26.78,5.54,3.69,34.16,36.93,8.31,4.62,0.92,0
"Richard Panik","RICHARD.PANIK","14-15","TOR","R","L",1991-02-07,23,76,60.13,0.79,14.35,27.94,5.99,2,43.9,37.92,12.97,3.99,2,0
"Richard Panik","RICHARD.PANIK","16-17","CHI","R","L",1991-02-07,25,81,133.72,1.65,35.96,33.65,4.49,2.24,29.61,49.81,6.28,4.49,1.79,0
"Richard Panik","RICHARD.PANIK","17-18","ARI","R","L",1991-02-07,26,35,70.43,2.01,46.81,38.34,4.26,0.85,20.45,57.08,6.82,1.7,0.85,0
"Richard Panik","RICHARD.PANIK","17-18","CHI","R","L",1991-02-07,26,37,67,1.81,28.88,32.24,3.58,1.79,33.13,48.36,8.06,1.79,0,0
"Richard Panik","RICHARD.PANIK","18-19","ARI","R","L",1991-02-07,27,74,145.18,1.96,38.49,30.58,8.27,1.24,28.52,47.53,11.57,3.72,1.65,0
"Richard Park","RICHARD.PARK","07-08","NYI","R","R",1976-05-27,31,82,93.4,1.14,18.84,21.2,21.84,2.57,30.84,39.19,32.12,4.5,0.64,0
"Richard Park","RICHARD.PARK","08-09","NYI","R","R",1976-05-27,32,71,111.78,1.57,26.06,24.69,8.59,2.15,42.94,37.57,13.42,3.76,0,0
"Richard Zednik","RICHARD.ZEDNIK","07-08","FLA","L","L",1976-01-06,31,53,153.38,2.89,49.05,25.82,14.08,1.17,28.56,42.64,19.95,3.52,0.78,0
"Richard Zednik","RICHARD.ZEDNIK","08-09","FLA","L/R","L",1976-01-06,32,68,152.77,2.25,35.78,15.32,7.07,1.96,56.95,23.17,9.82,2.75,0.39,0
"Rick Nash","RICK.NASH","07-08","CBJ","L","L",1984-06-16,23,80,257.67,3.22,48.97,28.18,16.77,1.86,23.98,42.61,24.92,2.56,0.23,0
"Rick Nash","RICK.NASH","08-09","CBJ","L","L",1984-06-16,24,75,260.95,3.48,55.36,33.11,10.12,1.61,22.07,51.96,16.32,3.22,0.46,0
"Rick Nash","RICK.NASH","09-10","CBJ","L","L",1984-06-16,25,74,223.58,3.02,52.11,35.16,9.66,1.07,21.74,53.67,12.61,2.15,0.27,0
"Rick Nash","RICK.NASH","10-11","CBJ","L","L",1984-06-16,26,73,246.67,3.38,57.81,34.54,9.49,1.46,13.13,55.22,13.62,2.92,0.49,0
"Rick Nash","RICK.NASH","11-12","CBJ","L","L",1984-06-16,27,81,271.8,3.36,52.14,29.8,5.96,1.32,19.21,57.4,12.58,2.87,0.66,0
